Name,Latitude,Longitude,Rating,User Ratings Total,Price
Shamim Hotel (শামীম হোটেল),22.8100787,89.5610344,3.3,7,
Vai vai hotel and restaurant,22.8002802,89.7350677,0.0,0,
Nawab Pasto Restaurant,22.6595315,89.7953421,5.0,2,
Sufiya Hotel & Restaurant.,22.8008926,89.5855588,4.5,4,
Rafe Restaurant,22.6383072,89.70250779999999,5.0,1,
Eatown Restaurant,22.8206702,89.55180659999999,3.8,32,
Mini Chinese King Restaurant,22.8120761,89.5662187,3.7,92,
"The Lake View Restaurant, Khulna",22.8759833,89.5219819,4.0,102,
ফায়ারফ্লাই রেস্টুরেন্ট,22.7846566,89.5400408,4.1,604,$$
Saad Biriyani House & Restaurant,22.8370366,89.53979860000001,4.6,14,
জবেদ হোটেল,22.8204894,89.558531,4.4,16,
লেট নাইট রেষ্টুরেন্ট,22.8135956,89.53849540000002,3.9,109,
Foodsta,22.8345544,89.532286,4.1,152,
The Kitchen,22.8344545,89.532264,3.9,336,$$
Mexican Spicy Khulna,22.8133444,89.5560912,4.0,204,$$
"Mejban bari, Khulna",22.799597,89.535372,4.0,144,
Topon's,22.8028038,89.53310669999999,4.6,146,$
Mughal's Dine,22.815456,89.562232,3.9,697,$$
Barista Cafe & restaurant,22.8666748,89.526924,4.2,61,
Rupkatha Restaurant,22.7977867,89.5275878,3.9,109,
We Hungry,22.8099649,89.5613096,3.8,194,
Simanto Restaurant,22.8593499,89.5275369,3.9,58,$
Rasana Bilas Restaurant,22.7982485,89.52929619999999,4.4,23,
Emotions Restaurant,22.8232542,89.5503142,4.2,17,
Turkey-Bangla Restaurant,22.8916799,89.5350282,4.7,3,
Muslim hotel মুসলিম হোটেল,22.9777078,89.46312999999999,4.1,15,
Tubelight Restaurant & Cafe,22.8070545,89.4185409,4.4,37,
Tulu Bhaier Canteen,22.8525654,89.5395171,3.9,103,$
Ice Land Food Station,22.8189525,89.54731749999999,3.9,104,$$
Faruk kabab,22.8180614,89.5592707,4.1,24,
Eatery,22.8216645,89.5514776,3.7,206,
জাফলং রেস্টুরেন্ট Jaflong Restaurant,22.8533724,89.5414606,3.8,6,
Grill House and Restaurants,22.9801269,89.4594705,3.6,26,
Khulna best Shantipuri Restaurant,22.8237549,89.55046180000001,5.0,1,
O' Khulna - Parkside Restaurant,22.8005352,89.53916850000002,5.0,1,
Mezban Restaurant,22.8272437,89.5375801,4.3,10,
Mega Biriyani House restaurant,22.8559944,89.540779,4.2,849,$$
College More Cafe & Restaurant,22.9147593,89.5045348,0.0,0,
